"Label (Grouping)","Banks County, Georgia!!Estimate","Banks County, Georgia!!Estimate Margin of Error","Banks County, Georgia!!Percent","Banks County, Georgia!!Percent Margin of Error","Barrow County, Georgia!!Estimate","Barrow County, Georgia!!Estimate Margin of Error","Barrow County, Georgia!!Percent","Barrow County, Georgia!!Percent Margin of Error","Clarke County, Georgia!!Estimate","Clarke County, Georgia!!Estimate Margin of Error","Clarke County, Georgia!!Percent","Clarke County, Georgia!!Percent Margin of Error","Elbert County, Georgia!!Estimate","Elbert County, Georgia!!Estimate Margin of Error","Elbert County, Georgia!!Percent","Elbert County, Georgia!!Percent Margin of Error","Franklin County, Georgia!!Estimate","Franklin County, Georgia!!Estimate Margin of Error","Franklin County, Georgia!!Percent","Franklin County, Georgia!!Percent Margin of Error","Habersham County, Georgia!!Estimate","Habersham County, Georgia!!Estimate Margin of Error","Habersham County, Georgia!!Percent","Habersham County, Georgia!!Percent Margin of Error","Hart County, Georgia!!Estimate","Hart County, Georgia!!Estimate Margin of Error","Hart County, Georgia!!Percent","Hart County, Georgia!!Percent Margin of Error","Jackson County, Georgia!!Estimate","Jackson County, Georgia!!Estimate Margin of Error","Jackson County, Georgia!!Percent","Jackson County, Georgia!!Percent Margin of Error","Madison County, Georgia!!Estimate","Madison County, Georgia!!Estimate Margin of Error","Madison County, Georgia!!Percent","Madison County, Georgia!!Percent Margin of Error","Oconee County, Georgia!!Estimate","Oconee County, Georgia!!Estimate Margin of Error","Oconee County, Georgia!!Percent","Oconee County, Georgia!!Percent Margin of Error","Oglethorpe County, Georgia!!Estimate","Oglethorpe County, Georgia!!Estimate Margin of Error","Oglethorpe County, Georgia!!Percent","Oglethorpe County, Georgia!!Percent Margin of Error","Rabun County, Georgia!!Estimate","Rabun County, Georgia!!Estimate Margin of Error","Rabun County, Georgia!!Percent","Rabun County, Georgia!!Percent Margin of Error","Stephens County, Georgia!!Estimate","Stephens County, Georgia!!Estimate Margin of Error","Stephens County, Georgia!!Percent","Stephens County, Georgia!!Percent Margin of Error","Towns County, Georgia!!Estimate","Towns County, Georgia!!Estimate Margin of Error","Towns County, Georgia!!Percent","Towns County, Georgia!!Percent Margin of Error","White County, Georgia!!Estimate","White County, Georgia!!Estimate Margin of Error","White County, Georgia!!Percent","White County, Georgia!!Percent Margin of Error"
"    Nonfamily households","1,725","±239","26.7%","±3.5","5,830","±481","25.3%","±2.0","20,750","±770","49.4%","±1.5","2,242","±306","29.0%","±3.6","2,569","±274","29.6%","±2.9","4,013","±414","26.7%","±2.2","2,685","±324","28.3%","±3.1","5,047","±471","24.1%","±2.1","2,125","±264","22.5%","±2.8","2,237","±288","20.1%","±2.4","1,465","±260","31.2%","±4.9","2,649","±300","37.1%","±3.5","2,813","±383","30.2%","±3.7","1,571","±260","33.0%","±4.8","3,286","±485","27.2%","±3.6"
"        Householder living alone","1,376","±227","21.3%","±3.4","4,880","±459","21.2%","±1.9","13,818","±663","32.9%","±1.5","2,002","±292","25.9%","±3.5","2,238","±264","25.8%","±2.9","3,490","±382","23.2%","±2.3","2,520","±329","26.5%","±3.1","4,068","±414","19.4%","±1.9","1,830","±252","19.4%","±2.6","1,931","±272","17.3%","±2.4","1,269","±246","27.0%","±4.8","2,118","±289","29.6%","±3.7","2,509","±369","27.0%","±3.6","1,435","±244","30.2%","±4.6","2,864","±461","23.7%","±3.6"
"            65 years and over","600","±135","9.3%","±2.0","1,725","±285","7.5%","±1.2","2,607","±253","6.2%","±0.6","781","±168","10.1%","±2.1","1,127","±177","13.0%","±2.0","1,439","±210","9.6%","±1.4","990","±195","10.4%","±2.0","1,608","±247","7.7%","±1.2","853","±145","9.0%","±1.6","706","±154","6.3%","±1.4","475","±119","10.1%","±2.5","851","±164","11.9%","±2.2","942","±205","10.1%","±2.1","825","±174","17.3%","±3.6","1,064","±198","8.8%","±1.6"
"    Households with one or more people under 18 years","2,194","±232","33.9%","±3.3","10,106","±515","43.9%","±2.1","10,240","±514","24.4%","±1.1","2,566","±264","33.2%","±3.1","2,819","±263","32.4%","±2.7","5,015","±570","33.3%","±2.5","3,185","±261","33.6%","±2.3","8,089","±478","38.7%","±2.0","3,546","±322","37.6%","±3.0","4,750","±267","42.6%","±2.0","1,479","±233","31.5%","±4.2","1,955","±237","27.4%","±3.0","2,980","±344","32.0%","±3.1","1,049","±161","22.0%","±3.0","4,274","±393","35.4%","±3.0"
"    Households with one or more people 65 years and over","1,605","±108","24.8%","±1.5","4,435","±281","19.2%","±1.1","6,814","±211","16.2%","±0.5","2,226","±140","28.8%","±1.7","2,701","±129","31.1%","±1.6","4,399","±171","29.2%","±2.4","2,868","±174","30.2%","±1.7","4,863","±214","23.2%","±1.0","2,444","±160","25.9%","±1.6","2,214","±120","19.8%","±1.1","1,336","±99","28.4%","±2.4","2,359","±139","33.0%","±1.7","2,751","±186","29.6%","±1.7","2,163","±129","45.5%","±3.2","3,319","±183","27.5%","±1.6"
"    Average household size","2.76","±0.08","(X)","(X)","2.87","±0.06","(X)","(X)","2.50","±0.04","(X)","(X)","2.62","±0.09","(X)","(X)","2.50","±0.08","(X)","(X)","2.52","±0.07","(X)","(X)","2.56","±0.09","(X)","(X)","2.73","±0.05","(X)","(X)","2.92","±0.10","(X)","(X)","2.78","±0.07","(X)","(X)","3.09","±0.18","(X)","(X)","2.26","±0.10","(X)","(X)","2.67","±0.11","(X)","(X)","2.00","±0.11","(X)","(X)","2.17","±0.08","(X)","(X)"
"    Average family size","3.27","±0.13","(X)","(X)","3.33","±0.09","(X)","(X)","3.14","±0.07","(X)","(X)","3.16","±0.14","(X)","(X)","2.98","±0.13","(X)","(X)","2.97","±0.10","(X)","(X)","3.09","±0.13","(X)","(X)","3.15","±0.08","(X)","(X)","3.34","±0.15","(X)","(X)","3.15","±0.09","(X)","(X)","3.78","±0.32","(X)","(X)","2.83","±0.15","(X)","(X)","3.16","±0.19","(X)","(X)","2.43","±0.14","(X)","(X)","2.54","±0.11","(X)","(X)"
"RELATIONSHIP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population in households","17,840","±132","17,840","(X)","66,024","±314","66,024","(X)","105,107","±1,544","105,107","(X)","20,280","±115","20,280","(X)","21,766","±408","21,766","(X)","37,907","±2,652","37,907","(X)","24,253","±354","24,253","(X)","57,001","±674","57,001","(X)","27,569","±129","27,569","(X)","31,036","±776","31,036","(X)","14,546","±132","14,546","(X)","16,131","±112","16,131","(X)","24,825","±429","24,825","(X)","9,530","±415","9,530","(X)","26,216","±238","26,216","(X)"
"    Householder","6,463","±192","36.2%","±1.1","23,045","±468","34.9%","±0.7","41,980","±776","39.9%","±0.6","7,733","±263","38.1%","±1.3","8,691","±332","39.9%","±1.2","15,046","±1,148","39.7%","±1.0","9,492","±359","39.1%","±1.3","20,917","±427","36.7%","±0.6","9,430","±324","34.2%","±1.2","11,155","±372","35.9%","±0.9","4,701","±271","32.3%","±1.9","7,148","±324","44.3%","±1.9","9,307","±451","37.5%","±1.6","4,758","±297","49.9%","±2.7","12,063","±445","46.0%","±1.7"
"    Spouse","4,007","±232","22.5%","±1.3","13,096","±566","19.8%","±0.9","13,960","±601","13.3%","±0.6","3,516","±310","17.3%","±1.5","4,745","±319","21.8%","±1.4","8,781","±709","23.2%","±1.1","5,019","±302","20.7%","±1.2","12,316","±480","21.6%","±0.9","5,491","±390","19.9%","±1.4","7,484","±387","24.1%","±1.2","2,607","±240","17.9%","±1.6","3,588","±302","22.2%","±1.9","4,871","±392","19.6%","±1.5","2,689","±260","28.2%","±2.4","6,837","±429","26.1%","±1.6"
"    Child","5,393","±282","30.2%","±1.6","21,646","±777","32.8%","±1.2","24,114","±766","22.9%","±0.8","6,282","±416","31.0%","±2.0","5,712","±416","26.2%","±1.8","10,973","±851","28.9%","±1.2","7,077","±477","29.2%","±1.9","16,976","±738","29.8%","±1.3","9,318","±512","33.8%","±1.8","10,602","±399","34.2%","±1.1","5,261","±459","36.2%","±3.2","3,678","±353","22.8%","±2.2","6,650","±571","26.8%","±2.3","1,610","±269","16.9%","±2.7","5,813","±493","22.2%","±1.9"
"    Other relatives","1,364","±315","7.6%","±1.8","5,422","±823","8.2%","±1.2","7,256","±737","6.9%","±0.7","2,046","±389","10.1%","±1.9","1,672","±369","7.7%","±1.7","1,993","±433","5.3%","±1.2","2,135","±443","8.8%","±1.8","4,766","±793","8.4%","±1.4","2,276","±390","8.3%","±1.4","1,060","±300","3.4%","±0.9","1,128","±363","7.8%","±2.5","959","±291","5.9%","±1.8","2,538","±573","10.2%","±2.3","260","±151","2.7%","±1.6","859","±341","3.3%","±1.3"
"    Nonrelatives","613","±198","3.4%","±1.1","2,815","±573","4.3%","±0.9","17,797","±1,233","16.9%","±1.0","703","±211","3.5%","±1.0","946","±232","4.3%","±1.1","1,114","±346","2.9%","±0.8","530","±193","2.2%","±0.8","2,026","±354","3.6%","±0.6","1,054","±304","3.8%","±1.1","735","±222","2.4%","±0.7","849","±436","5.8%","±3.0","758","±190","4.7%","±1.2","1,459","±561","5.9%","±2.3","213","±117","2.2%","±1.2","644","±254","2.5%","±1.0"
"        Unmarried partner","273","±92","1.5%","±0.5","1,267","±287","1.9%","±0.4","2,131","±309","2.0%","±0.3","370","±150","1.8%","±0.7","385","±157","1.8%","±0.7","534","±224","1.4%","±0.5","218","±109","0.9%","±0.5","945","±211","1.7%","±0.4","346","±141","1.3%","±0.5","363","±146","1.2%","±0.5","217","±114","1.5%","±0.8","408","±137","2.5%","±0.9","420","±152","1.7%","±0.6","85","±52","0.9%","±0.5","415","±204","1.6%","±0.8"
"MARITAL STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Males 15 years and over","6,969","±101","6,969","(X)","24,537","±240","24,537","(X)","45,879","±124","45,879","(X)","7,819","±113","7,819","(X)","8,760","±119","8,760","(X)","14,518","±1,763","14,518","(X)","9,820","±84","9,820","(X)","22,653","±267","22,653","(X)","10,769","±164","10,769","(X)","11,762","±120","11,762","(X)","5,784","±111","5,784","(X)","6,480","±83","6,480","(X)","9,830","±78","9,830","(X)","3,883","±294","3,883","(X)","10,510","±180","10,510","(X)"
"    Never married","1,422","±154","20.4%","±2.2","6,758","±461","27.5%","±1.8","25,625","±631","55.9%","±1.3","2,254","±285","28.8%","±3.5","2,350","±224","26.8%","±2.5","3,609","±336","24.9%","±2.4","3,018","±257","30.7%","±2.5","6,054","±451","26.7%","±1.8","3,071","±309","28.5%","±2.9","2,966","±268","25.2%","±2.2","2,236","±265","38.7%","±4.4","1,625","±186","25.1%","±2.9","2,389","±320","24.3%","±3.2","507","±210","13.1%","±5.4","1,815","±283","17.3%","±2.7"
"    Now married, except separated","4,429","±278","63.6%","±3.9","14,185","±679","57.8%","±2.8","15,853","±606","34.6%","±1.3","4,158","±312","53.2%","±3.9","5,204","±314","59.4%","±3.7","9,054","±1,359","62.4%","±3.0","5,395","±347","54.9%","±3.6","13,377","±509","59.1%","±2.3","6,161","±430","57.2%","±3.9","7,743","±380","65.8%","±3.1","2,778","±271","48.0%","±5.0","3,962","±295","61.1%","±4.5","5,533","±396","56.3%","±4.1","2,724","±311","70.2%","±7.0","7,373","±464","70.2%","±4.1"
"    Separated","147","±93","2.1%","±1.3","303","±164","1.2%","±0.7","719","±203","1.6%","±0.4","252","±144","3.2%","±1.8","120","±88","1.4%","±1.0","252","±163","1.7%","±1.1","169","±99","1.7%","±1.0","351","±133","1.5%","±0.6","346","±183","3.2%","±1.7","156","±84","1.3%","±0.7","46","±67","0.8%","±1.2","21","±27","0.3%","±0.4","217","±103","2.2%","±1.1","0","±132","0.0%","±1.0","147","±86","1.4%","±0.8"
"    Widowed","109","±44","1.6%","±0.6","558","±172","2.3%","±0.7","785","±178","1.7%","±0.4","234","±87","3.0%","±1.1","195","±85","2.2%","±1.0","301","±108","2.1%","±0.8","263","±103","2.7%","±1.1","512","±160","2.3%","±0.7","357","±120","3.3%","±1.1","117","±64","1.0%","±0.5","127","±77","2.2%","±1.3","157","±64","2.4%","±1.0","343","±131","3.5%","±1.3","193","±61","5.0%","±1.6","165","±98","1.6%","±0.9"
"    Divorced","862","±193","12.4%","±2.8","2,733","±483","11.1%","±1.9","2,897","±329","6.3%","±0.7","921","±183","11.8%","±2.4","891","±230","10.2%","±2.6","1,302","±369","9.0%","±2.0","975","±218","9.9%","±2.2","2,359","±257","10.4%","±1.1","834","±207","7.7%","±1.9","780","±190","6.6%","±1.6","597","±210","10.3%","±3.6","715","±199","11.0%","±3.1","1,348","±273","13.7%","±2.8","459","±175","11.8%","±4.1","1,010","±257","9.6%","±2.5"
"    Females 15 years and over","7,055","±122","7,055","(X)","25,935","±188","25,935","(X)","51,785","±117","51,785","(X)","8,673","±133","8,673","(X)","9,272","±105","9,272","(X)","19,392","±1,766","19,392","(X)","10,515","±84","10,515","(X)","22,890","±147","22,890","(X)","11,423","±155","11,423","(X)","12,578","±91","12,578","(X)","5,864","±69","5,864","(X)","6,943","±117","6,943","(X)","11,179","±79","11,179","(X)","5,241","±298","5,241","(X)","11,150","±172","11,150","(X)"
"    Never married","1,180","±172","16.7%","±2.4","6,107","±430","23.5%","±1.6","28,170","±536","54.4%","±1.0","2,267","±265","26.1%","±2.9","1,961","±258","21.1%","±2.7","5,113","±1,907","26.4%","±7.6","2,182","±285","20.8%","±2.7","4,531","±418","19.8%","±1.8","2,658","±304","23.3%","±2.7","2,551","±272","20.3%","±2.1","1,727","±263","29.5%","±4.5","1,111","±196","16.0%","±2.8","2,636","±319","23.6%","±2.8","1,102","±361","21.0%","±5.7","1,415","±260","12.7%","±2.3"
"    Now married, except separated","4,251","±268","60.3%","±3.9","13,974","±651","53.9%","±2.5","14,772","±716","28.5%","±1.4","3,870","±324","44.6%","±3.7","4,849","±337","52.3%","±3.6","9,823","±518","50.7%","±5.8","5,057","±318","48.1%","±3.1","13,064","±544","57.1%","±2.4","6,087","±470","53.3%","±4.0","7,582","±399","60.3%","±3.2","2,593","±307","44.2%","±5.2","3,697","±335","53.2%","±4.8","5,446","±419","48.7%","±3.8","2,872","±268","54.8%","±7.0","6,770","±527","60.7%","±4.6"
"    Separated","163","±78","2.3%","±1.1","725","±254","2.8%","±1.0","1,100","±247","2.1%","±0.5","299","±105","3.4%","±1.2","259","±116","2.8%","±1.3","672","±190","3.5%","±1.1","313","±121","3.0%","±1.2","399","±114","1.7%","±0.5","184","±93","1.6%","±0.8","206","±117","1.6%","±0.9","197","±126","3.4%","±2.1","64","±46","0.9%","±0.7","283","±123","2.5%","±1.1","28","±28","0.5%","±0.5","408","±163","3.7%","±1.5"
"    Widowed","677","±163","9.6%","±2.2","2,337","±253","9.0%","±1.0","2,975","±258","5.7%","±0.5","1,134","±182","13.1%","±2.1","1,194","±182","12.9%","±1.9","1,783","±231","9.2%","±1.4","1,555","±202","14.8%","±1.9","2,476","±260","10.8%","±1.1","1,187","±173","10.4%","±1.5","771","±176","6.1%","±1.4","415","±111","7.1%","±1.9","1,010","±158","14.5%","±2.2","1,625","±239","14.5%","±2.1","839","±145","16.0%","±2.6","1,134","±219","10.2%","±2.0"
"    Divorced","784","±175","11.1%","±2.5","2,792","±398","10.8%","±1.5","4,768","±479","9.2%","±0.9","1,103","±268","12.7%","±3.1","1,009","±217","10.9%","±2.4","2,001","±274","10.3%","±1.7","1,408","±244","13.4%","±2.3","2,420","±330","10.6%","±1.5","1,307","±243","11.4%","±2.1","1,468","±228","11.7%","±1.8","932","±281","15.9%","±4.8","1,061","±216","15.3%","±3.1","1,189","±266","10.6%","±2.4","400","±160","7.6%","±3.1","1,423","±328","12.8%","±2.9"
"FERTILITY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of women 15 to 50 years old who had a birth in the past 12 months","235","±87","235","(X)","1,321","±238","1,321","(X)","1,596","±292","1,596","(X)","374","±127","374","(X)","310","±127","310","(X)","405","±134","405","(X)","412","±134","412","(X)","940","±244","940","(X)","279","±124","279","(X)","398","±162","398","(X)","120","±80","120","(X)","129","±90","129","(X)","327","±132","327","(X)","86","±57","86","(X)","285","±147","285","(X)"
"    Unmarried women (widowed, divorced, and never married)","18","±25","7.7%","±9.9","568","±169","43.0%","±10.1","727","±225","45.6%","±10.5","216","±108","57.8%","±18.8","103","±69","33.2%","±18.2","103","±68","25.4%","±13.4","182","±92","44.2%","±18.3","252","±99","26.8%","±10.4","171","±98","61.3%","±20.8","74","±97","18.6%","±21.5","33","±47","27.5%","±31.8","68","±75","52.7%","±36.5","137","±101","41.9%","±21.7","8","±15","9.3%","±17.4","105","±106","36.8%","±31.3"
"        Per 1,000 unmarried women","12","±17","(X)","(X)","77","±22","(X)","(X)","25","±8","(X)","(X)","79","±38","(X)","(X)","43","±28","(X)","(X)","16","±15","(X)","(X)","66","±35","(X)","(X)","44","±17","(X)","(X)","52","±30","(X)","(X)","23","±29","(X)","(X)","15","±22","(X)","(X)","48","±52","(X)","(X)","42","±31","(X)","(X)","6","±12","(X)","(X)","47","±47","(X)","(X)"
"    Per 1,000 women 15 to 50 years old","58","±21","(X)","(X)","75","±14","(X)","(X)","41","±7","(X)","(X)","75","±26","(X)","(X)","62","±25","(X)","(X)","34","±15","(X)","(X)","75","±25","(X)","(X)","67","±17","(X)","(X)","40","±18","(X)","(X)","50","±20","(X)","(X)","35","±23","(X)","(X)","39","±28","(X)","(X)","52","±21","(X)","(X)","36","±26","(X)","(X)","47","±24","(X)","(X)"
"        Per 1,000 women 15 to 19 years old","29","±41","(X)","(X)","49","±31","(X)","(X)","6","±9","(X)","(X)","12","±20","(X)","(X)","5","±15","(X)","(X)","20","±32","(X)","(X)","0","±55","(X)","(X)","27","±29","(X)","(X)","45","±57","(X)","(X)","6","±9","(X)","(X)","0","±66","(X)","(X)","10","±19","(X)","(X)","9","±19","(X)","(X)","0","±48","(X)","(X)","9","±17","(X)","(X)"
"        Per 1,000 women 20 to 34 years old","118","±50","(X)","(X)","162","±31","(X)","(X)","61","±13","(X)","(X)","146","±58","(X)","(X)","143","±61","(X)","(X)","77","±25","(X)","(X)","175","±63","(X)","(X)","136","±38","(X)","(X)","82","±41","(X)","(X)","117","±60","(X)","(X)","104","±67","(X)","(X)","90","±77","(X)","(X)","93","±42","(X)","(X)","124","±88","(X)","(X)","107","±65","(X)","(X)"
"        Per 1,000 women 35 to 50 years old","18","±18","(X)","(X)","6","±5","(X)","(X)","24","±13","(X)","(X)","40","±27","(X)","(X)","9","±10","(X)","(X)","5","±6","(X)","(X)","11","±10","(X)","(X)","21","±13","(X)","(X)","5","±7","(X)","(X)","29","±19","(X)","(X)","0","±23","(X)","(X)","13","±20","(X)","(X)","41","±34","(X)","(X)","4","±9","(X)","(X)","20","±21","(X)","(X)"
"GRANDPARENTS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Number of grandparents living with own grandchildren under 18 years","451","±148","451","(X)","1,996","±414","1,996","(X)","1,445","±280","1,445","(X)","747","±203","747","(X)","652","±184","652","(X)","746","±266","746","(X)","1,067","±327","1,067","(X)","1,817","±321","1,817","(X)","902","±265","902","(X)","475","±150","475","(X)","348","±163","348","(X)","273","±126","273","(X)","1,059","±387","1,059","(X)","139","±89","139","(X)","666","±252","666","(X)"
"    Responsible for grandchildren","184","±97","40.8%","±15.8","944","±316","47.3%","±11.2","643","±165","44.5%","±8.9","419","±167","56.1%","±14.7","258","±109","39.6%","±14.8","325","±166","43.6%","±16.7","503","±203","47.1%","±14.7","956","±241","52.6%","±8.7","556","±225","61.6%","±14.3","199","±88","41.9%","±14.9","252","±144","72.4%","±18.5","162","±103","59.3%","±21.5","482","±283","45.5%","±16.3","46","±44","33.1%","±25.8","411","±239","61.7%","±19.4"
"        Years responsible for grandchildren","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"            Less than 1 year","4","±7","0.9%","±1.5","348","±203","17.4%","±9.6","154","±91","10.7%","±5.8","114","±99","15.3%","±11.9","8","±16","1.2%","±2.5","7","±15","0.9%","±2.1","57","±60","5.3%","±6.0","230","±99","12.7%","±5.5","80","±57","8.9%","±5.8","22","±36","4.6%","±7.4","0","±132","0.0%","±10.8","21","±27","7.7%","±9.2","56","±57","5.3%","±5.6","10","±17","7.2%","±12.2","129","±128","19.4%","±15.7"
