"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Associate's degree","4.4%","±1.1","2.6%","±1.3","6.2%","±1.9","7.6%","±1.1","7.0%","±1.6","8.2%","±1.4","4.4%","±0.6","3.3%","±0.8","5.5%","±0.8","5.6%","±1.5","1.6%","±1.0","9.1%","±2.5","5.4%","±1.2","3.1%","±1.3","7.5%","±2.0","5.9%","±1.1","4.9%","±1.4","6.6%","±1.6","6.1%","±1.3","5.8%","±1.9","6.3%","±1.8","6.4%","±0.9","5.8%","±1.1","6.9%","±1.3","5.1%","±1.1","4.2%","±1.3","5.9%","±1.6","5.5%","±1.2","4.2%","±1.3","6.7%","±1.5","5.4%","±2.0","6.0%","±3.2","4.8%","±1.9","5.2%","±1.4","3.2%","±1.6","7.0%","±2.0","5.8%","±1.2","4.6%","±1.5","6.8%","±2.0","8.8%","±2.5","3.9%","±2.0","12.8%","±4.2","6.7%","±1.7","6.4%","±2.4","7.0%","±2.0"
"Bachelor's degree","6.6%","±1.6","7.8%","±2.3","5.3%","±1.7","10.1%","±1.2","10.0%","±1.5","10.1%","±1.6","21.9%","±0.9","22.6%","±1.5","21.3%","±1.5","6.2%","±1.2","8.5%","±2.5","4.2%","±1.1","9.1%","±1.7","8.1%","±1.9","10.1%","±2.2","11.6%","±1.6","12.0%","±1.9","11.3%","±1.8","9.6%","±1.6","11.8%","±2.5","7.6%","±1.8","10.1%","±1.1","9.7%","±1.6","10.6%","±1.7","7.8%","±1.3","9.0%","±1.8","6.7%","±1.7","21.9%","±1.8","24.2%","±2.5","19.9%","±2.6","5.6%","±1.5","6.4%","±2.6","4.8%","±1.8","15.5%","±2.2","18.4%","±3.6","12.8%","±2.2","7.8%","±1.7","8.9%","±2.5","6.7%","±2.1","12.4%","±2.2","13.8%","±4.0","11.2%","±2.7","10.4%","±1.9","10.3%","±2.6","10.5%","±2.7"
"Graduate or professional degree","3.9%","±1.7","3.7%","±2.3","4.2%","±1.7","4.9%","±0.7","4.1%","±0.8","5.6%","±1.0","19.3%","±1.1","21.0%","±1.3","17.7%","±1.3","3.4%","±1.0","2.5%","±1.1","4.1%","±1.6","4.5%","±1.2","3.5%","±1.3","5.5%","±2.2","7.0%","±1.1","6.6%","±1.6","7.4%","±1.3","5.6%","±1.1","5.3%","±1.3","5.9%","±1.7","7.6%","±1.2","6.5%","±1.4","8.6%","±1.5","5.1%","±1.1","4.3%","±1.5","5.8%","±1.6","23.0%","±2.3","23.6%","±2.6","22.5%","±2.8","6.1%","±2.2","6.4%","±2.8","5.8%","±2.4","9.3%","±1.7","9.3%","±2.4","9.3%","±2.0","5.5%","±1.2","5.5%","±1.8","5.5%","±2.0","8.4%","±1.9","9.1%","±2.9","7.8%","±2.3","9.1%","±1.5","9.4%","±2.0","8.9%","±2.2"
"Percent high school graduate or higher","73.0%","±2.8","69.5%","±3.5","76.4%","±3.6","78.9%","±1.9","77.2%","±2.8","80.5%","±2.0","84.3%","±1.2","83.8%","±1.6","84.7%","±1.4","73.0%","±3.0","69.7%","±4.3","75.9%","±3.4","74.3%","±2.6","70.3%","±3.6","78.0%","±3.3","75.0%","±2.0","73.6%","±2.7","76.1%","±2.4","75.3%","±2.4","75.4%","±3.5","75.1%","±3.1","78.9%","±1.6","77.8%","±2.1","80.0%","±2.0","72.9%","±2.8","70.8%","±3.7","74.8%","±3.1","88.7%","±2.0","87.0%","±2.7","90.2%","±1.8","75.7%","±3.1","78.5%","±4.7","72.9%","±5.0","80.5%","±2.3","78.3%","±3.9","82.4%","±2.8","74.8%","±2.9","74.4%","±4.3","75.2%","±3.6","86.5%","±3.0","82.7%","±5.0","89.6%","±2.6","83.3%","±2.4","83.0%","±3.2","83.5%","±3.0"
"Percent bachelor's degree or higher","10.5%","±2.3","11.6%","±3.0","9.5%","±2.5","14.9%","±1.2","14.1%","±1.5","15.7%","±1.7","41.2%","±1.2","43.6%","±1.8","39.0%","±1.5","9.6%","±1.7","11.0%","±2.5","8.3%","±1.8","13.6%","±2.0","11.5%","±2.4","15.6%","±2.8","18.7%","±1.8","18.6%","±2.3","18.7%","±1.9","15.2%","±2.2","17.1%","±2.8","13.5%","±2.5","17.7%","±1.8","16.2%","±2.1","19.2%","±2.2","12.9%","±1.8","13.3%","±2.4","12.5%","±2.2","44.9%","±2.5","47.8%","±2.8","42.3%","±3.2","11.7%","±3.0","12.8%","±4.1","10.6%","±3.4","24.7%","±2.7","27.7%","±4.3","22.1%","±2.8","13.3%","±2.1","14.5%","±2.7","12.2%","±2.8","20.8%","±3.0","22.9%","±4.7","19.0%","±3.3","19.6%","±2.3","19.7%","±2.9","19.5%","±3.1"
"Population 25 to 34 years","2,139","±83","1,072","±48","1,067","±59","10,171","±332","4,996","±235","5,175","±201","19,058","±52","9,786","±28","9,272","±34","2,212","±226","986","±150","1,226","±99","2,337","±117","1,127","±75","1,210","±73","5,449","±225","2,528","±164","2,921","±118","2,941","±229","1,419","±137","1,522","±192","7,975","±321","3,936","±163","4,039","±197","3,395","±170","1,587","±86","1,808","±151","2,768","±219","1,341","±183","1,427","±100","1,464","±199","728","±67","736","±163","1,634","±175","790","±112","844","±114","2,816","±158","1,427","±96","1,389","±120","928","±246","515","±194","413","±103","2,588","±54","1,294","±54","1,294","±132"
"High school graduate or higher","74.2%","±6.4","65.9%","±9.7","82.7%","±7.2","84.2%","±3.3","80.9%","±4.9","87.3%","±4.0","87.0%","±1.7","85.1%","±2.4","89.1%","±2.2","68.4%","±10.2","55.6%","±14.8","78.8%","±11.2","75.2%","±6.6","68.1%","±10.1","81.9%","±6.9","72.3%","±4.7","73.5%","±6.6","71.2%","±5.4","76.1%","±6.3","72.1%","±10.6","79.8%","±8.5","84.1%","±3.8","81.2%","±4.5","86.8%","±4.9","68.3%","±7.7","66.1%","±10.9","70.2%","±9.5","85.5%","±9.3","77.5%","±15.1","93.1%","±6.5","80.7%","±11.7","75.8%","±16.2","85.5%","±13.7","68.7%","±9.3","64.6%","±13.0","72.6%","±13.0","82.7%","±6.0","78.8%","±8.2","86.8%","±8.0","81.3%","±12.7","68.3%","±21.8","97.3%","±4.5","82.7%","±8.4","82.6%","±9.5","82.8%","±11.3"
"Bachelor's degree or higher","16.8%","±6.5","13.3%","±9.0","20.2%","±9.0","16.0%","±3.0","12.3%","±3.7","19.6%","±4.1","48.9%","±2.4","44.1%","±3.4","53.9%","±2.9","9.2%","±3.9","2.7%","±2.6","14.4%","±6.1","14.3%","±5.0","8.0%","±5.2","20.2%","±9.0","14.8%","±4.1","11.1%","±4.5","18.0%","±5.3","8.9%","±4.2","6.7%","±4.2","10.9%","±6.7","21.8%","±4.2","15.4%","±4.3","28.0%","±5.9","12.6%","±4.9","10.5%","±4.7","14.4%","±8.4","36.9%","±7.7","29.4%","±10.1","44.0%","±9.3","12.2%","±6.7","6.2%","±5.9","18.1%","±10.7","7.9%","±4.3","9.9%","±6.9","6.0%","±4.5","9.5%","±4.6","7.6%","±5.8","11.4%","±7.3","12.1%","±9.0","11.5%","±11.0","12.8%","±10.8","14.9%","±5.2","15.1%","±7.7","14.7%","±7.5"
"Population 35 to 44 years","2,611","±66","1,377","±49","1,234","±53","10,596","±285","5,332","±189","5,264","±199","11,780","±170","5,918","±75","5,862","±127","2,668","±152","1,320","±144","1,348","±34","2,910","±154","1,553","±134","1,357","±57","5,637","±201","2,599","±166","3,038","±105","3,097","±198","1,583","±135","1,514","±118","8,622","±209","4,310","±109","4,312","±157","3,880","±204","1,931","±142","1,949","±107","4,997","±148","2,383","±111","2,614","±112","1,942","±101","999","±79","943","±51","2,047","±127","1,021","±76","1,026","±77","3,398","±130","1,635","±106","1,763","±91","1,070","±95","539","±31","531","±95","3,630","±198","1,768","±186","1,862","±117"
"High school graduate or higher","81.7%","±5.0","78.1%","±8.1","85.6%","±6.2","81.8%","±3.9","77.6%","±5.9","86.0%","±4.0","85.7%","±2.4","84.6%","±3.7","86.9%","±3.8","71.0%","±7.6","71.1%","±10.3","70.8%","±10.0","81.6%","±7.3","78.4%","±8.7","85.3%","±8.0","77.8%","±4.0","74.6%","±6.2","80.5%","±4.3","84.9%","±4.4","82.6%","±5.5","87.3%","±6.6","84.1%","±3.7","82.5%","±4.0","85.8%","±5.2","79.7%","±5.6","70.6%","±8.3","88.6%","±5.2","89.3%","±3.3","84.9%","±4.6","93.3%","±3.6","82.9%","±8.3","82.1%","±12.8","83.7%","±8.2","81.3%","±6.6","80.9%","±8.6","81.7%","±8.0","76.8%","±6.9","75.8%","±8.5","77.7%","±8.5","90.0%","±5.9","87.6%","±8.1","92.5%","±6.1","92.4%","±3.6","94.1%","±5.4","90.8%","±4.7"
"Bachelor's degree or higher","11.1%","±4.8","11.8%","±6.2","10.4%","±5.1","17.8%","±2.8","14.5%","±3.5","21.2%","±4.2","37.1%","±2.7","40.8%","±3.7","33.5%","±4.0","10.0%","±4.2","12.5%","±6.4","7.5%","±4.4","12.5%","±4.7","5.9%","±3.9","20.0%","±9.0","21.2%","±4.2","20.0%","±6.2","22.2%","±4.8","19.8%","±5.7","19.0%","±6.2","20.7%","±7.6","21.8%","±3.6","18.8%","±4.4","24.8%","±5.1","12.3%","±3.7","9.1%","±4.2","15.5%","±5.4","48.4%","±6.0","45.4%","±6.9","51.1%","±7.2","10.0%","±5.9","14.3%","±10.1","5.5%","±5.7","21.2%","±7.4","21.5%","±8.7","20.8%","±8.7","17.8%","±7.2","16.1%","±7.6","19.4%","±9.1","16.3%","±8.5","17.1%","±13.1","15.4%","±10.8","18.6%","±5.8","11.5%","±6.4","25.3%","±9.1"
"Population 45 to 64 years","4,845","±240","2,381","±113","2,464","±147","15,020","±269","7,409","±190","7,611","±152","18,791","±190","8,935","±114","9,856","±126","5,467","±106","2,669","±103","2,798","±21","5,920","±84","2,904","±54","3,016","±66","9,911","±1,633","4,185","±1,621","5,726","±137","7,096","±204","3,457","±109","3,639","±130","15,088","±248","7,557","±176","7,531","±145","7,820","±141","3,975","±131","3,845","±64","9,188","±313","4,460","±261","4,728","±117","4,296","±146","2,172","±94","2,124","±135","4,859","±167","2,321","±77","2,538","±122","7,197","±135","3,463","±124","3,734","±27","2,738","±296","1,141","±285","1,597","±33","7,906","±206","3,810","±124","4,096","±158"
"High school graduate or higher","74.7%","±4.8","69.2%","±6.3","80.1%","±5.5","79.8%","±2.9","78.9%","±4.0","80.7%","±3.1","85.1%","±1.9","83.4%","±2.9","86.6%","±2.4","79.4%","±3.9","77.0%","±5.6","81.8%","±4.2","76.2%","±4.6","70.8%","±6.3","81.4%","±5.2","79.3%","±2.7","75.8%","±5.0","81.8%","±3.1","79.9%","±3.6","79.2%","±4.6","80.5%","±5.1","78.8%","±2.8","77.2%","±3.3","80.4%","±3.3","78.0%","±3.9","78.2%","±5.5","77.8%","±4.6","92.1%","±2.0","91.6%","±2.8","92.7%","±2.4","76.4%","±5.4","81.8%","±7.6","70.9%","±10.0","87.9%","±3.2","82.5%","±5.7","92.9%","±3.4","81.3%","±3.9","80.7%","±5.9","81.9%","±5.5","89.7%","±3.2","83.6%","±6.5","94.0%","±2.6","84.2%","±3.8","80.9%","±5.7","87.3%","±4.3"
