"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Associate's degree","5.7%","±1.2","3.1%","±1.2","8.3%","±2.0","7.7%","±1.1","7.4%","±1.5","8.0%","±1.6","4.4%","±0.6","3.5%","±0.7","5.2%","±0.8","5.0%","±1.3","1.3%","±0.9","8.1%","±2.3","5.1%","±1.3","2.6%","±1.3","7.4%","±1.9","6.7%","±1.0","5.3%","±1.3","7.9%","±1.6","6.1%","±1.3","5.8%","±1.6","6.4%","±1.8","6.3%","±0.9","5.2%","±1.2","7.4%","±1.3","5.6%","±1.1","4.4%","±1.3","6.7%","±1.7","6.1%","±1.0","4.8%","±1.3","7.2%","±1.4","4.9%","±1.5","4.0%","±2.2","5.7%","±2.2","4.8%","±1.3","3.1%","±1.4","6.4%","±2.0","7.0%","±1.6","5.3%","±1.9","8.4%","±2.1","6.9%","±1.8","4.1%","±1.9","9.3%","±2.7","7.3%","±1.7","6.1%","±2.3","8.4%","±2.6"
"Bachelor's degree","9.0%","±1.7","9.2%","±2.2","8.7%","±2.1","11.6%","±1.2","11.3%","±1.5","12.0%","±1.6","20.7%","±1.1","21.1%","±1.6","20.3%","±1.4","6.7%","±1.5","10.1%","±2.7","3.8%","±1.4","8.6%","±1.8","8.5%","±2.2","8.7%","±2.1","10.6%","±1.3","12.0%","±1.7","9.3%","±1.3","9.9%","±1.8","10.9%","±2.5","9.0%","±2.5","11.8%","±1.1","12.5%","±1.7","11.2%","±1.5","8.4%","±1.5","9.2%","±2.0","7.7%","±1.9","22.5%","±1.9","24.0%","±3.0","21.2%","±2.4","9.4%","±2.3","8.2%","±2.9","10.5%","±2.7","15.8%","±2.2","17.6%","±2.6","14.1%","±3.2","9.0%","±2.1","9.9%","±2.5","8.3%","±2.8","11.6%","±2.0","12.9%","±2.9","10.5%","±2.6","12.0%","±2.1","12.3%","±2.7","11.8%","±2.6"
"Graduate or professional degree","3.0%","±1.0","3.3%","±1.5","2.7%","±1.0","5.0%","±0.8","3.9%","±0.9","6.0%","±1.2","20.1%","±1.2","21.2%","±1.6","19.1%","±1.4","4.5%","±1.1","3.7%","±1.4","5.2%","±1.8","4.9%","±1.3","4.1%","±1.5","5.6%","±2.0","7.3%","±1.2","7.0%","±1.4","7.7%","±1.4","5.8%","±1.2","5.1%","±1.7","6.4%","±1.9","6.9%","±1.2","5.9%","±1.3","7.7%","±1.5","5.0%","±1.1","4.3%","±1.2","5.7%","±1.5","21.5%","±1.8","22.4%","±2.5","20.8%","±2.5","8.8%","±2.3","7.2%","±3.2","10.2%","±3.0","10.1%","±1.8","11.8%","±2.8","8.5%","±2.0","5.6%","±1.5","4.9%","±2.0","6.3%","±2.0","10.6%","±2.2","11.5%","±3.3","9.8%","±2.7","7.9%","±1.6","9.4%","±2.4","6.5%","±1.8"
"Percent high school graduate or higher","77.0%","±2.6","73.8%","±3.5","80.2%","±3.2","80.4%","±1.8","79.7%","±2.4","81.0%","±2.2","84.9%","±1.2","85.4%","±1.7","84.4%","±1.4","76.8%","±3.0","72.6%","±4.6","80.4%","±3.0","73.1%","±3.0","72.0%","±3.7","74.1%","±3.5","78.9%","±1.6","78.8%","±2.1","79.0%","±2.0","79.6%","±2.2","77.2%","±3.4","81.7%","±2.4","79.9%","±1.8","79.5%","±2.1","80.4%","±2.0","75.5%","±3.1","71.9%","±4.3","78.9%","±2.9","91.0%","±1.5","91.3%","±1.8","90.7%","±1.8","77.3%","±3.0","79.1%","±4.1","75.5%","±4.3","84.8%","±2.5","82.2%","±3.9","87.2%","±3.1","78.0%","±2.6","76.7%","±3.6","79.2%","±3.3","85.6%","±2.6","84.4%","±4.1","86.6%","±2.4","85.1%","±2.5","82.5%","±3.2","87.7%","±3.0"
"Percent bachelor's degree or higher","11.9%","±2.1","12.5%","±2.6","11.4%","±2.4","16.6%","±1.4","15.2%","±1.7","17.9%","±2.0","40.8%","±1.3","42.3%","±1.8","39.4%","±1.5","11.2%","±2.0","13.8%","±2.9","9.0%","±2.1","13.5%","±2.0","12.6%","±2.3","14.3%","±2.8","17.9%","±1.7","19.0%","±2.2","17.0%","±1.9","15.7%","±2.4","16.0%","±2.8","15.4%","±3.3","18.7%","±1.7","18.4%","±2.2","18.9%","±2.1","13.4%","±1.9","13.5%","±2.3","13.3%","±2.4","44.1%","±2.4","46.4%","±3.0","41.9%","±2.8","18.2%","±3.0","15.4%","±4.6","20.7%","±3.5","25.9%","±2.6","29.4%","±3.3","22.6%","±3.6","14.7%","±2.5","14.7%","±3.1","14.6%","±3.1","22.2%","±3.2","24.4%","±4.4","20.3%","±3.5","20.0%","±2.5","21.7%","±3.3","18.3%","±2.7"
"Population 25 to 34 years","2,108","±123","1,036","±77","1,072","±70","10,716","±317","5,206","±208","5,510","±188","19,635","±61","10,062","±30","9,573","±42","2,056","±185","952","±129","1,104","±91","2,312","±131","1,151","±99","1,161","±75","5,179","±202","2,399","±139","2,780","±130","2,721","±183","1,445","±146","1,276","±89","7,805","±269","3,771","±172","4,034","±154","3,534","±135","1,791","±137","1,743","±75","2,876","±142","1,369","±91","1,507","±95","1,638","±153","732","±59","906","±125","1,747","±171","922","±106","825","±96","2,588","±102","1,281","±78","1,307","±69","767","±30","360","±19","407","±32","2,665","±142","1,366","±115","1,299","±37"
"High school graduate or higher","81.2%","±5.7","76.6%","±7.7","85.5%","±6.8","85.4%","±3.0","86.0%","±3.7","84.8%","±3.7","87.6%","±1.6","88.2%","±2.4","86.9%","±2.1","72.7%","±7.0","57.5%","±11.3","85.9%","±7.5","74.8%","±7.7","69.3%","±9.9","80.2%","±9.1","76.7%","±4.7","78.4%","±5.9","75.3%","±7.0","83.0%","±5.7","75.8%","±9.3","91.1%","±5.4","86.5%","±3.3","87.1%","±3.9","86.0%","±4.7","66.1%","±9.3","65.2%","±11.8","67.1%","±9.3","93.3%","±3.0","89.0%","±5.6","97.2%","±3.0","83.4%","±7.4","82.8%","±9.9","83.9%","±11.1","62.0%","±12.2","55.7%","±16.3","69.0%","±13.7","82.9%","±6.6","82.3%","±8.5","83.5%","±8.8","83.3%","±7.9","71.7%","±15.7","93.6%","±6.2","81.7%","±8.7","75.3%","±13.0","88.3%","±8.4"
"Bachelor's degree or higher","14.1%","±4.8","12.3%","±7.5","15.9%","±5.7","19.5%","±3.2","14.3%","±4.4","24.4%","±4.0","47.1%","±2.3","42.4%","±3.2","52.0%","±2.8","17.1%","±7.0","14.2%","±8.9","19.7%","±8.5","14.8%","±5.4","8.8%","±5.1","20.8%","±8.9","10.5%","±2.7","6.0%","±2.7","14.3%","±4.4","11.6%","±5.3","6.0%","±4.4","17.9%","±9.2","29.0%","±4.2","23.3%","±5.0","34.3%","±5.8","7.8%","±2.9","4.4%","±3.2","11.4%","±5.0","32.6%","±6.7","26.2%","±9.3","38.4%","±8.9","21.7%","±9.1","19.4%","±12.6","23.6%","±8.8","12.0%","±4.7","11.1%","±8.1","13.0%","±6.6","12.0%","±5.3","9.2%","±7.9","14.7%","±7.7","18.5%","±9.5","8.9%","±8.8","27.0%","±14.6","15.2%","±6.4","13.6%","±7.7","16.9%","±9.3"
"Population 35 to 44 years","2,659","±103","1,385","±84","1,274","±53","10,424","±241","5,169","±165","5,255","±170","12,028","±126","6,048","±73","5,980","±104","2,673","±167","1,320","±134","1,353","±68","2,864","±128","1,516","±87","1,348","±85","5,630","±185","2,658","±126","2,972","±137","3,026","±117","1,468","±121","1,558","±20","8,737","±249","4,442","±157","4,295","±162","3,605","±115","1,791","±83","1,814","±70","4,983","±134","2,408","±105","2,575","±105","1,850","±100","994","±100","856","±7","1,849","±120","887","±68","962","±70","3,170","±158","1,533","±106","1,637","±92","1,044","±76","526","±46","518","±31","3,642","±250","1,884","±249","1,758","±92"
"High school graduate or higher","83.5%","±4.0","84.8%","±5.5","82.0%","±5.9","88.6%","±2.9","87.1%","±4.1","90.0%","±3.4","84.2%","±2.6","84.1%","±3.0","84.3%","±4.0","77.4%","±7.8","76.7%","±10.6","78.2%","±8.2","81.6%","±5.7","79.8%","±6.3","83.5%","±7.4","81.3%","±3.6","79.1%","±5.3","83.2%","±4.3","87.7%","±4.4","82.7%","±7.3","92.4%","±4.7","89.3%","±2.7","85.7%","±4.3","92.9%","±2.8","81.0%","±6.7","69.1%","±11.3","92.7%","±5.3","88.7%","±4.3","89.2%","±4.7","88.3%","±5.2","86.3%","±6.3","78.3%","±10.6","95.7%","±4.1","90.0%","±4.1","87.5%","±6.3","92.3%","±4.3","80.3%","±7.0","78.9%","±8.0","81.7%","±10.1","82.0%","±9.9","80.0%","±13.6","84.0%","±9.9","94.0%","±3.2","94.9%","±4.1","93.1%","±4.6"
"Bachelor's degree or higher","17.0%","±5.5","17.1%","±6.4","16.9%","±6.4","19.1%","±3.0","15.7%","±3.8","22.5%","±4.5","37.4%","±3.2","37.5%","±4.4","37.3%","±3.3","10.5%","±4.0","12.2%","±6.0","8.8%","±4.3","11.2%","±3.8","6.9%","±3.1","16.2%","±7.7","21.7%","±4.4","25.2%","±5.6","18.6%","±4.6","21.3%","±5.7","23.8%","±6.5","19.0%","±7.2","23.6%","±3.5","22.6%","±5.4","24.6%","±4.2","13.6%","±4.5","9.1%","±4.8","18.0%","±6.9","48.5%","±4.7","48.2%","±6.3","48.7%","±6.0","22.1%","±8.1","14.4%","±8.1","31.0%","±12.3","23.4%","±7.8","20.6%","±8.9","26.0%","±9.6","20.3%","±6.3","14.0%","±5.9","26.2%","±9.4","10.0%","±6.0","8.6%","±7.8","11.4%","±8.7","17.5%","±7.2","16.8%","±8.8","18.3%","±8.5"
"Population 45 to 64 years","5,015","±212","2,528","±105","2,487","±118","16,298","±204","8,040","±132","8,258","±150","19,302","±144","9,182","±94","10,120","±114","5,472","±101","2,594","±73","2,878","±63","6,037","±134","2,972","±52","3,065","±117","11,401","±146","5,308","±127","6,093","±155","7,212","±41","3,562","±25","3,650","±27","15,852","±227","7,837","±173","8,015","±123","7,868","±86","3,893","±95","3,975","±23","9,623","±192","4,677","±130","4,946","±119","4,407","±162","2,167","±105","2,240","±131","4,759","±139","2,285","±74","2,474","±103","7,207","±211","3,481","±117","3,726","±139","2,903","±31","1,366","±26","1,537","±12","7,833","±125","3,806","±107","4,027","±80"
"High school graduate or higher","78.0%","±3.5","71.0%","±5.3","85.1%","±3.7","79.3%","±2.8","76.2%","±4.1","82.4%","±3.1","85.5%","±2.1","83.9%","±3.6","87.0%","±2.3","83.4%","±3.3","81.3%","±5.4","85.2%","±4.2","70.9%","±4.3","70.4%","±5.7","71.3%","±5.8","81.6%","±2.3","81.7%","±3.3","81.4%","±3.0","84.7%","±2.6","86.2%","±3.9","83.3%","±3.3","77.0%","±3.0","76.4%","±3.6","77.6%","±3.4","81.5%","±3.0","79.2%","±4.5","83.8%","±3.2","94.3%","±1.7","94.2%","±1.9","94.4%","±2.3","76.3%","±5.5","79.6%","±7.3","73.0%","±8.4","91.0%","±2.7","87.4%","±5.1","94.3%","±2.4","86.0%","±3.4","85.0%","±4.5","87.0%","±4.6","87.8%","±4.3","83.8%","±7.7","91.3%","±4.7","86.5%","±3.8","82.6%","±4.8","90.1%","±4.2"
