"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"Associate's degree","5.0%","±1.2","2.9%","±1.2","7.0%","±2.1","7.4%","±1.0","7.1%","±1.6","7.7%","±1.5","4.5%","±0.6","3.9%","±0.8","5.2%","±0.9","5.4%","±1.6","1.6%","±1.1","8.8%","±2.7","5.3%","±1.2","2.6%","±1.3","7.7%","±1.9","6.3%","±1.0","5.2%","±1.5","7.3%","±1.5","6.3%","±1.3","5.9%","±1.7","6.7%","±2.1","6.5%","±1.0","5.4%","±1.4","7.6%","±1.4","4.9%","±1.2","3.9%","±1.4","5.8%","±1.7","5.6%","±1.1","4.4%","±1.4","6.7%","±1.4","6.7%","±1.9","6.3%","±3.0","7.1%","±2.6","5.1%","±1.4","2.9%","±1.5","7.0%","±2.4","6.5%","±1.6","4.8%","±2.0","7.9%","±2.3","8.1%","±2.2","3.2%","±1.7","12.7%","±4.3","7.3%","±1.6","6.1%","±2.5","8.4%","±2.4"
"Bachelor's degree","7.6%","±1.7","8.5%","±2.2","6.7%","±1.9","11.0%","±1.3","10.3%","±1.6","11.8%","±1.8","20.7%","±1.0","21.1%","±1.6","20.4%","±1.2","7.1%","±1.6","10.5%","±3.4","4.1%","±1.4","9.3%","±1.6","9.2%","±2.1","9.5%","±1.9","10.7%","±1.3","11.5%","±1.8","10.1%","±1.6","9.0%","±1.4","11.0%","±2.2","7.2%","±1.8","10.9%","±1.1","11.5%","±1.4","10.4%","±1.5","7.6%","±1.4","8.7%","±1.7","6.5%","±1.9","23.8%","±2.0","26.0%","±2.8","21.8%","±2.4","7.0%","±2.0","7.6%","±2.6","6.5%","±2.2","14.4%","±2.3","16.3%","±3.0","12.7%","±2.9","8.8%","±2.3","9.2%","±2.9","8.4%","±2.7","11.4%","±2.1","14.0%","±3.8","9.1%","±2.4","11.0%","±2.2","11.5%","±2.7","10.5%","±2.6"
"Graduate or professional degree","3.5%","±1.1","2.9%","±1.4","4.1%","±1.6","5.1%","±0.9","3.6%","±1.0","6.4%","±1.2","19.9%","±1.1","21.6%","±1.4","18.3%","±1.4","4.3%","±1.3","3.2%","±1.3","5.3%","±1.9","4.7%","±1.3","4.5%","±1.5","4.9%","±2.1","7.3%","±1.1","7.1%","±1.3","7.6%","±1.5","5.9%","±1.0","5.1%","±1.3","6.6%","±1.6","6.7%","±1.0","5.5%","±1.1","7.8%","±1.4","4.9%","±1.0","4.2%","±1.3","5.6%","±1.4","21.4%","±1.6","21.8%","±2.0","21.0%","±2.2","7.8%","±2.3","7.5%","±3.0","8.1%","±2.4","9.8%","±2.2","10.8%","±2.9","8.8%","±2.6","5.4%","±1.2","5.3%","±1.7","5.5%","±1.7","9.6%","±1.6","11.3%","±2.7","8.1%","±2.2","8.6%","±1.8","9.4%","±2.4","7.9%","±2.1"
"Percent high school graduate or higher","75.2%","±2.8","71.7%","±4.0","78.6%","±3.5","79.5%","±1.6","78.6%","±2.0","80.3%","±2.0","84.9%","±1.1","84.8%","±1.5","85.0%","±1.5","75.8%","±2.7","73.8%","±3.7","77.6%","±3.2","73.5%","±3.2","71.6%","±4.2","75.3%","±3.3","76.7%","±2.0","75.8%","±2.4","77.4%","±2.3","77.1%","±2.7","76.2%","±2.9","77.9%","±3.3","79.4%","±1.6","79.0%","±2.0","79.8%","±2.1","73.9%","±2.9","72.1%","±3.7","75.6%","±3.3","90.0%","±1.4","90.0%","±1.8","89.9%","±1.6","76.1%","±3.6","78.5%","±4.9","74.0%","±4.9","83.4%","±2.5","80.1%","±3.5","86.4%","±2.7","77.2%","±3.2","78.3%","±3.7","76.3%","±4.2","85.3%","±2.4","83.3%","±3.8","87.2%","±2.7","84.3%","±2.7","83.4%","±3.2","85.1%","±3.3"
"Percent bachelor's degree or higher","11.1%","±1.7","11.4%","±2.4","10.8%","±2.1","16.1%","±1.6","13.9%","±1.8","18.1%","±2.1","40.7%","±1.3","42.8%","±2.0","38.7%","±1.4","11.4%","±2.1","13.7%","±3.4","9.4%","±2.3","14.0%","±2.1","13.6%","±2.6","14.4%","±2.6","18.1%","±1.8","18.6%","±2.2","17.6%","±2.0","14.9%","±1.7","16.1%","±2.3","13.8%","±2.2","17.6%","±1.3","17.0%","±1.7","18.1%","±1.7","12.5%","±1.7","12.9%","±2.2","12.0%","±2.2","45.2%","±2.4","47.8%","±3.1","42.8%","±2.7","14.8%","±2.9","15.0%","±3.9","14.7%","±3.0","24.2%","±2.9","27.1%","±3.9","21.5%","±3.7","14.2%","±2.5","14.5%","±2.7","14.0%","±3.2","21.0%","±2.8","25.2%","±4.6","17.1%","±3.2","19.6%","±3.0","20.9%","±3.3","18.4%","±3.6"
"Population 25 to 34 years","2,142","±109","1,068","±61","1,074","±74","10,611","±268","5,201","±178","5,410","±195","19,100","±71","9,801","±36","9,299","±51","2,143","±192","1,020","±151","1,123","±58","2,337","±128","1,160","±92","1,177","±74","5,335","±225","2,449","±158","2,886","±130","2,738","±199","1,357","±125","1,381","±148","7,778","±245","3,791","±90","3,987","±205","3,379","±122","1,636","±75","1,743","±91","2,821","±138","1,321","±71","1,500","±92","1,658","±146","752","±98","906","±81","1,766","±181","896","±105","870","±111","2,574","±137","1,284","±109","1,290","±82","763","±185","454","±134","309","±99","2,668","±134","1,373","±129","1,295","±27"
"High school graduate or higher","79.6%","±4.9","73.2%","±7.2","85.8%","±6.6","84.5%","±2.7","83.6%","±3.8","85.4%","±3.6","88.3%","±1.6","88.0%","±2.1","88.7%","±2.0","74.1%","±7.0","65.1%","±13.7","82.4%","±8.9","75.8%","±7.6","68.8%","±10.6","82.8%","±7.4","74.5%","±4.6","73.3%","±5.1","75.5%","±6.6","79.9%","±6.1","73.9%","±8.1","85.9%","±7.8","85.0%","±3.7","84.5%","±4.3","85.4%","±5.1","66.2%","±9.4","65.8%","±11.1","66.7%","±10.7","94.3%","±2.7","89.3%","±5.4","98.7%","±1.0","81.2%","±7.7","72.1%","±17.2","88.7%","±7.8","68.6%","±9.9","60.0%","±13.9","77.4%","±12.0","81.5%","±7.6","80.3%","±7.9","82.6%","±9.9","80.1%","±10.1","72.0%","±16.7","91.9%","±9.3","84.4%","±8.8","83.9%","±10.2","85.0%","±11.0"
"Bachelor's degree or higher","17.7%","±5.6","13.8%","±8.3","21.7%","±7.8","18.3%","±3.0","12.1%","±3.5","24.3%","±4.4","47.6%","±2.2","43.3%","±3.4","52.2%","±2.8","12.7%","±5.9","8.9%","±7.5","16.2%","±8.3","12.9%","±4.8","7.2%","±5.0","18.4%","±7.5","10.9%","±2.7","8.7%","±3.5","12.8%","±3.9","10.9%","±4.4","7.1%","±4.7","14.6%","±7.8","25.0%","±4.3","17.9%","±4.6","31.8%","±6.0","11.6%","±4.8","9.1%","±5.0","13.9%","±6.8","38.3%","±7.4","33.5%","±8.4","42.6%","±9.8","17.0%","±8.1","11.8%","±8.6","21.3%","±10.3","9.4%","±5.8","10.8%","±8.8","7.9%","±7.3","12.4%","±5.7","8.4%","±8.0","16.4%","±8.6","17.4%","±11.6","21.4%","±17.0","11.7%","±11.7","16.5%","±6.8","13.7%","±7.3","19.5%","±11.0"
"Population 35 to 44 years","2,666","±126","1,404","±95","1,262","±52","10,468","±244","5,114","±197","5,354","±159","11,674","±148","5,897","±54","5,777","±129","2,566","±122","1,257","±125","1,309","±45","2,839","±131","1,434","±106","1,405","±87","5,726","±187","2,730","±137","2,996","±111","3,173","±149","1,567","±147","1,606","±35","8,756","±253","4,382","±157","4,374","±156","3,716","±144","1,855","±92","1,861","±95","5,002","±171","2,367","±121","2,635","±123","1,888","±98","955","±69","933","±41","1,889","±133","923","±75","966","±66","3,374","±196","1,592","±116","1,782","±131","1,083","±65","550","±38","533","±27","3,494","±104","1,699","±56","1,795","±85"
"High school graduate or higher","82.7%","±4.0","82.2%","±6.6","83.2%","±6.2","85.5%","±3.5","82.7%","±5.2","88.2%","±3.9","84.4%","±2.9","83.1%","±3.3","85.8%","±3.7","74.9%","±7.2","74.6%","±10.2","75.2%","±8.2","81.8%","±6.7","79.2%","±7.7","84.3%","±7.4","76.7%","±4.1","73.9%","±6.2","79.3%","±4.6","88.2%","±5.1","87.2%","±5.4","89.2%","±7.9","88.5%","±2.8","88.0%","±3.4","89.0%","±3.6","79.2%","±6.3","70.0%","±9.0","88.4%","±6.2","89.1%","±3.6","88.5%","±4.3","89.7%","±4.6","87.4%","±7.1","81.4%","±12.3","93.6%","±4.5","89.0%","±4.8","85.7%","±7.3","92.2%","±4.5","80.6%","±6.4","84.0%","±7.2","77.6%","±9.7","87.4%","±6.3","86.0%","±8.9","88.9%","±6.7","94.0%","±3.3","94.6%","±3.4","93.4%","±4.9"
"Bachelor's degree or higher","12.5%","±4.4","13.2%","±5.1","11.6%","±5.2","19.0%","±3.3","14.8%","±3.6","23.0%","±4.8","36.9%","±3.2","39.0%","±4.1","34.8%","±3.7","11.8%","±4.4","13.7%","±7.2","10.1%","±5.4","13.1%","±4.6","7.5%","±3.7","18.8%","±8.3","22.0%","±4.1","24.1%","±5.7","20.0%","±5.5","22.5%","±6.1","23.9%","±7.1","21.1%","±7.9","23.7%","±3.8","23.8%","±5.1","23.6%","±4.7","12.2%","±3.2","9.9%","±4.3","14.4%","±4.6","49.7%","±5.1","48.5%","±7.1","50.7%","±5.7","16.1%","±5.8","14.9%","±8.0","17.4%","±7.7","25.5%","±7.5","23.5%","±9.9","27.3%","±8.5","16.5%","±6.5","12.2%","±6.3","20.4%","±8.0","10.6%","±7.0","11.6%","±11.8","9.6%","±8.2","14.1%","±5.6","11.2%","±6.5","16.8%","±8.1"
"Population 45 to 64 years","4,904","±167","2,431","±88","2,473","±91","15,808","±205","7,815","±146","7,993","±146","19,001","±177","8,995","±80","10,006","±135","5,524","±49","2,686","±36","2,838","±34","5,943","±117","2,925","±76","3,018","±80","11,102","±173","5,223","±106","5,879","±136","7,257","±157","3,576","±129","3,681","±65","15,642","±291","7,825","±188","7,817","±175","7,935","±126","3,979","±129","3,956","±25","9,352","±178","4,583","±114","4,769","±124","4,426","±106","2,196","±89","2,230","±61","4,871","±176","2,376","±124","2,495","±104","7,136","±196","3,458","±126","3,678","±135","2,950","±4","1,374","±98","1,576","±4","7,805","±118","3,756","±105","4,049","±81"
"High school graduate or higher","75.5%","±4.4","68.7%","±6.0","82.2%","±5.5","78.4%","±2.8","76.6%","±4.0","80.2%","±3.2","85.4%","±1.9","83.8%","±2.7","86.8%","±2.6","82.8%","±3.5","82.6%","±4.9","83.1%","±4.3","73.0%","±5.1","71.9%","±6.2","74.2%","±5.8","81.5%","±3.0","81.2%","±3.8","81.7%","±3.6","78.8%","±4.2","78.8%","±5.0","78.8%","±5.3","77.4%","±2.4","75.6%","±3.1","79.3%","±3.3","80.4%","±3.1","80.5%","±3.5","80.3%","±4.4","92.8%","±2.0","92.7%","±2.3","92.8%","±2.6","76.2%","±5.7","82.5%","±6.5","70.0%","±9.6","88.5%","±3.2","83.2%","±5.2","93.5%","±2.9","84.4%","±3.6","84.2%","±5.5","84.6%","±5.3","87.6%","±4.5","81.7%","±9.3","92.8%","±3.4","84.7%","±4.0","81.0%","±5.3","88.1%","±4.0"
