"Label (Grouping)","Banks County, Georgia!!Total!!Estimate","Banks County, Georgia!!Total!!Margin of Error","Banks County, Georgia!!Male!!Estimate","Banks County, Georgia!!Male!!Margin of Error","Banks County, Georgia!!Female!!Estimate","Banks County, Georgia!!Female!!Margin of Error","Barrow County, Georgia!!Total!!Estimate","Barrow County, Georgia!!Total!!Margin of Error","Barrow County, Georgia!!Male!!Estimate","Barrow County, Georgia!!Male!!Margin of Error","Barrow County, Georgia!!Female!!Estimate","Barrow County, Georgia!!Female!!Margin of Error","Clarke County, Georgia!!Total!!Estimate","Clarke County, Georgia!!Total!!Margin of Error","Clarke County, Georgia!!Male!!Estimate","Clarke County, Georgia!!Male!!Margin of Error","Clarke County, Georgia!!Female!!Estimate","Clarke County, Georgia!!Female!!Margin of Error","Elbert County, Georgia!!Total!!Estimate","Elbert County, Georgia!!Total!!Margin of Error","Elbert County, Georgia!!Male!!Estimate","Elbert County, Georgia!!Male!!Margin of Error","Elbert County, Georgia!!Female!!Estimate","Elbert County, Georgia!!Female!!Margin of Error","Franklin County, Georgia!!Total!!Estimate","Franklin County, Georgia!!Total!!Margin of Error","Franklin County, Georgia!!Male!!Estimate","Franklin County, Georgia!!Male!!Margin of Error","Franklin County, Georgia!!Female!!Estimate","Franklin County, Georgia!!Female!!Margin of Error","Habersham County, Georgia!!Total!!Estimate","Habersham County, Georgia!!Total!!Margin of Error","Habersham County, Georgia!!Male!!Estimate","Habersham County, Georgia!!Male!!Margin of Error","Habersham County, Georgia!!Female!!Estimate","Habersham County, Georgia!!Female!!Margin of Error","Hart County, Georgia!!Total!!Estimate","Hart County, Georgia!!Total!!Margin of Error","Hart County, Georgia!!Male!!Estimate","Hart County, Georgia!!Male!!Margin of Error","Hart County, Georgia!!Female!!Estimate","Hart County, Georgia!!Female!!Margin of Error","Jackson County, Georgia!!Total!!Estimate","Jackson County, Georgia!!Total!!Margin of Error","Jackson County, Georgia!!Male!!Estimate","Jackson County, Georgia!!Male!!Margin of Error","Jackson County, Georgia!!Female!!Estimate","Jackson County, Georgia!!Female!!Margin of Error","Madison County, Georgia!!Total!!Estimate","Madison County, Georgia!!Total!!Margin of Error","Madison County, Georgia!!Male!!Estimate","Madison County, Georgia!!Male!!Margin of Error","Madison County, Georgia!!Female!!Estimate","Madison County, Georgia!!Female!!Margin of Error","Oconee County, Georgia!!Total!!Estimate","Oconee County, Georgia!!Total!!Margin of Error","Oconee County, Georgia!!Male!!Estimate","Oconee County, Georgia!!Male!!Margin of Error","Oconee County, Georgia!!Female!!Estimate","Oconee County, Georgia!!Female!!Margin of Error","Oglethorpe County, Georgia!!Total!!Estimate","Oglethorpe County, Georgia!!Total!!Margin of Error","Oglethorpe County, Georgia!!Male!!Estimate","Oglethorpe County, Georgia!!Male!!Margin of Error","Oglethorpe County, Georgia!!Female!!Estimate","Oglethorpe County, Georgia!!Female!!Margin of Error","Rabun County, Georgia!!Total!!Estimate","Rabun County, Georgia!!Total!!Margin of Error","Rabun County, Georgia!!Male!!Estimate","Rabun County, Georgia!!Male!!Margin of Error","Rabun County, Georgia!!Female!!Estimate","Rabun County, Georgia!!Female!!Margin of Error","Stephens County, Georgia!!Total!!Estimate","Stephens County, Georgia!!Total!!Margin of Error","Stephens County, Georgia!!Male!!Estimate","Stephens County, Georgia!!Male!!Margin of Error","Stephens County, Georgia!!Female!!Estimate","Stephens County, Georgia!!Female!!Margin of Error","Towns County, Georgia!!Total!!Estimate","Towns County, Georgia!!Total!!Margin of Error","Towns County, Georgia!!Male!!Estimate","Towns County, Georgia!!Male!!Margin of Error","Towns County, Georgia!!Female!!Estimate","Towns County, Georgia!!Female!!Margin of Error","White County, Georgia!!Total!!Estimate","White County, Georgia!!Total!!Margin of Error","White County, Georgia!!Male!!Estimate","White County, Georgia!!Male!!Margin of Error","White County, Georgia!!Female!!Estimate","White County, Georgia!!Female!!Margin of Error"
"    Bachelor's degree or higher","16.5%","±5.5","16.2%","±7.0","16.7%","±7.2","19.9%","±2.4","14.5%","±3.1","25.1%","±3.7","44.6%","±2.1","39.6%","±2.8","49.6%","±3.1","11.4%","±5.7","9.2%","±6.3","13.6%","±8.5","11.6%","±3.3","7.9%","±3.5","15.5%","±6.1","9.0%","±2.4","5.7%","±2.9","11.8%","±3.6","10.8%","±4.5","5.5%","±3.7","16.7%","±8.3","25.0%","±4.0","18.5%","±4.4","31.1%","±6.0","8.8%","±3.9","3.9%","±2.8","13.9%","±6.9","33.9%","±6.0","21.9%","±6.5","45.4%","±9.4","28.3%","±9.2","22.0%","±9.8","34.6%","±11.8","14.8%","±6.1","10.7%","±6.5","19.4%","±8.7","9.3%","±3.8","1.9%","±2.5","16.7%","±6.5","24.0%","±9.4","10.6%","±11.3","35.4%","±17.5","15.1%","±6.0","11.5%","±7.9","19.1%","±9.4"
"Population 35 to 44 years","2,613","±102","1,317","±97","1,296","±76","10,501","±137","5,281","±116","5,220","±74","12,569","±104","6,289","±86","6,280","±45","2,357","±174","1,114","±141","1,243","±55","2,671","±102","1,319","±69","1,352","±95","5,704","±343","2,575","±227","3,129","±220","2,855","±134","1,399","±133","1,456","±18","8,994","±212","4,554","±107","4,440","±140","3,560","±167","1,754","±110","1,806","±86","4,896","±134","2,347","±71","2,549","±108","1,903","±110","945","±92","958","±68","1,928","±125","858","±66","1,070","±109","3,050","±185","1,397","±113","1,653","±138","1,062","±88","511","±68","551","±64","3,285","±136","1,649","±125","1,636","±58"
"    High school graduate or higher","80.5%","±4.3","80.8%","±6.9","80.2%","±6.3","85.5%","±3.0","81.6%","±4.9","89.5%","±3.4","85.1%","±2.4","85.5%","±3.0","84.6%","±3.3","82.6%","±5.7","83.8%","±7.8","81.5%","±8.0","77.4%","±7.4","73.0%","±9.6","81.7%","±7.7","79.3%","±4.6","77.4%","±5.2","80.8%","±5.5","87.0%","±4.0","80.6%","±7.6","93.3%","±4.2","86.2%","±3.0","82.1%","±4.6","90.4%","±2.8","83.2%","±4.6","76.1%","±6.6","90.1%","±5.3","92.4%","±2.6","93.7%","±3.0","91.1%","±4.2","84.7%","±6.0","78.3%","±9.5","90.9%","±6.9","88.7%","±4.6","83.1%","±7.0","93.2%","±4.8","83.4%","±5.2","83.8%","±7.7","83.1%","±6.7","88.0%","±8.0","81.4%","±15.0","94.2%","±6.1","89.5%","±4.6","84.3%","±8.3","94.7%","±4.2"
"    Bachelor's degree or higher","11.8%","±4.2","9.6%","±5.0","14.0%","±5.7","17.7%","±3.0","14.9%","±4.1","20.5%","±3.8","37.5%","±3.0","34.4%","±3.6","40.6%","±3.8","12.2%","±4.3","8.8%","±6.3","15.3%","±5.9","12.6%","±3.8","9.2%","±4.7","16.0%","±6.1","19.7%","±3.9","22.4%","±5.9","17.5%","±4.5","18.1%","±4.8","16.7%","±6.4","19.6%","±5.5","24.2%","±3.8","22.7%","±5.5","25.9%","±4.6","17.6%","±4.4","11.1%","±4.2","23.9%","±8.0","50.5%","±5.4","51.1%","±6.7","49.9%","±6.5","22.5%","±7.3","14.6%","±8.3","30.3%","±10.1","16.4%","±6.0","13.6%","±6.9","18.7%","±7.9","20.9%","±7.8","21.4%","±9.0","20.4%","±8.4","11.5%","±5.9","11.4%","±7.0","11.6%","±8.9","17.2%","±5.4","13.2%","±7.0","21.2%","±7.4"
"Population 45 to 64 years","4,949","±78","2,524","±72","2,425","±43","16,910","±150","8,227","±74","8,683","±104","20,204","±144","9,546","±116","10,658","±106","5,478","±43","2,604","±28","2,874","±31","5,927","±140","2,918","±75","3,009","±108","11,223","±179","5,264","±192","5,959","±122","7,206","±73","3,550","±47","3,656","±29","15,890","±232","7,844","±112","8,046","±158","8,103","±124","3,983","±103","4,120","±43","9,893","±151","4,731","±109","5,162","±123","4,294","±107","2,122","±91","2,172","±67","4,621","±96","2,260","±68","2,361","±69","7,024","±147","3,318","±115","3,706","±121","2,831","±59","1,318","±34","1,513","±46","8,053","±113","3,788","±98","4,265","±133"
"    High school graduate or higher","76.3%","±3.4","70.0%","±5.5","82.9%","±3.6","83.2%","±2.1","80.0%","±3.4","86.1%","±2.3","84.0%","±1.7","83.2%","±2.4","84.7%","±2.4","81.1%","±3.2","78.8%","±5.1","83.2%","±4.0","73.2%","±4.7","75.1%","±5.4","71.4%","±6.1","79.9%","±3.2","79.4%","±4.7","80.4%","±3.8","81.9%","±3.4","80.8%","±5.1","82.9%","±4.2","81.2%","±2.0","80.9%","±2.9","81.6%","±3.0","84.7%","±2.8","82.4%","±3.9","86.9%","±4.2","95.1%","±1.3","94.5%","±2.2","95.5%","±1.6","82.7%","±3.4","80.5%","±6.1","84.8%","±4.5","89.7%","±2.8","86.0%","±4.6","93.3%","±2.4","88.4%","±2.9","86.1%","±4.4","90.4%","±4.2","90.3%","±3.0","88.8%","±4.4","91.6%","±4.4","87.7%","±3.9","81.4%","±6.0","93.3%","±3.2"
"    Bachelor's degree or higher","10.2%","±2.4","10.3%","±3.7","10.0%","±2.8","15.8%","±1.9","15.5%","±3.1","16.1%","±2.7","35.7%","±2.0","35.7%","±2.6","35.6%","±2.8","9.9%","±2.5","13.1%","±4.6","7.1%","±2.8","12.0%","±2.8","12.6%","±3.8","11.5%","±2.8","18.8%","±2.6","19.3%","±3.8","18.3%","±3.3","14.7%","±2.8","10.9%","±3.4","18.4%","±5.0","15.8%","±2.1","15.7%","±2.9","15.8%","±2.4","17.4%","±2.6","16.3%","±3.8","18.5%","±3.3","50.8%","±2.9","53.3%","±4.0","48.5%","±3.9","15.0%","±3.1","9.9%","±3.6","20.0%","±4.5","26.5%","±4.9","27.6%","±5.9","25.5%","±5.8","18.8%","±3.2","19.6%","±4.1","18.0%","±4.9","20.6%","±4.4","22.8%","±6.2","18.6%","±5.2","21.4%","±4.3","22.4%","±5.2","20.5%","±5.2"
"Population 65 years and over","2,674","±121","1,300","±114","1,374","±34","7,410","±149","3,064","±64","4,346","±109","10,896","±110","4,346","±84","6,550","±89","3,513","±3","1,491","±2","2,022","±2","3,977","±90","1,710","±61","2,267","±51","7,106","±105","3,221","±71","3,885","±73","4,929","±35","2,187","±33","2,742","±8","7,692","±91","3,416","±76","4,276","±70","4,127","±82","1,908","±66","2,219","±40","4,070","±72","1,866","±54","2,204","±28","2,371","±30","1,076","±30","1,295","±4","3,843","±85","1,759","±47","2,084","±70","4,480","±88","2,005","±60","2,475","±104","3,277","±52","1,538","±49","1,739","±15","5,227","±85","2,405","±34","2,822","±61"
"    High school graduate or higher","70.5%","±5.3","65.2%","±8.3","75.5%","±5.3","70.6%","±4.1","72.9%","±5.7","69.0%","±4.4","80.9%","±2.5","83.4%","±2.8","79.2%","±3.1","69.8%","±3.7","65.6%","±7.6","72.9%","±4.2","65.1%","±4.0","62.5%","±6.6","67.2%","±4.9","75.0%","±3.8","75.9%","±5.2","74.3%","±4.7","73.2%","±4.3","70.9%","±6.0","75.1%","±5.2","72.7%","±3.3","73.6%","±5.3","71.9%","±3.8","75.1%","±4.4","72.5%","±6.6","77.2%","±5.7","86.1%","±3.3","88.8%","±3.5","83.8%","±4.5","75.9%","±3.7","79.6%","±3.4","72.8%","±6.1","84.9%","±4.1","87.7%","±4.3","82.5%","±5.8","69.9%","±5.3","65.9%","±7.6","73.1%","±6.4","87.2%","±3.0","89.8%","±3.7","84.9%","±4.7","79.0%","±3.7","76.8%","±5.9","80.9%","±5.2"
"    Bachelor's degree or higher","11.4%","±3.1","13.3%","±4.6","9.7%","±4.0","12.4%","±2.4","14.1%","±3.9","11.2%","±3.1","38.7%","±2.6","53.2%","±3.8","29.1%","±3.4","10.4%","±3.2","13.2%","±4.4","8.3%","±3.6","11.7%","±2.8","15.0%","±4.8","9.2%","±3.3","15.8%","±2.3","20.1%","±3.6","12.2%","±2.8","14.4%","±3.1","17.4%","±5.3","12.1%","±4.1","11.8%","±2.6","16.1%","±4.6","8.4%","±2.2","12.5%","±3.1","19.5%","±6.0","6.4%","±2.9","30.7%","±3.6","37.6%","±5.3","24.9%","±4.6","13.0%","±4.0","20.2%","±7.2","7.0%","±4.1","34.3%","±6.7","44.6%","±8.1","25.5%","±6.9","10.9%","±3.0","15.1%","±5.7","7.5%","±2.4","26.6%","±4.6","32.8%","±6.8","21.2%","±5.0","20.1%","±4.1","27.0%","±8.2","14.2%","±4.5"
"POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Less than high school graduate","25.3%","±5.3","20.8%","±5.9","31.8%","±7.6","27.0%","±5.7","24.9%","±6.1","29.3%","±7.0","45.0%","±5.3","45.3%","±7.1","44.8%","±6.6","24.4%","±5.4","18.8%","±6.6","30.7%","±8.2","26.0%","±4.8","18.9%","±5.3","33.2%","±7.3","28.2%","±6.9","25.3%","±7.3","31.4%","±8.1","36.9%","±6.2","35.4%","±7.8","38.7%","±9.7","33.8%","±4.9","28.2%","±6.0","39.6%","±6.1","29.0%","±6.0","21.9%","±6.9","38.4%","±8.4","29.2%","±8.5","32.2%","±11.6","26.6%","±8.5","23.8%","±7.1","19.8%","±7.7","28.2%","±10.0","32.9%","±8.0","34.2%","±9.1","31.3%","±10.6","23.7%","±6.9","22.4%","±8.3","25.2%","±9.3","29.1%","±12.4","35.0%","±18.2","22.8%","±12.7","24.5%","±8.1","22.2%","±9.8","28.5%","±9.6"
"    High school graduate (includes equivalency)","10.5%","±2.7","8.3%","±3.8","12.8%","±3.5","11.2%","±2.0","9.1%","±2.5","13.3%","±2.4","24.8%","±3.5","22.1%","±4.3","27.5%","±4.5","12.3%","±3.0","9.8%","±3.6","14.3%","±3.9","19.8%","±4.4","15.7%","±5.5","24.1%","±5.6","13.1%","±2.7","11.6%","±4.0","14.4%","±3.3","16.8%","±4.0","15.8%","±5.0","17.9%","±4.7","14.2%","±2.5","14.8%","±3.4","13.6%","±2.9","15.9%","±4.2","10.8%","±3.5","19.9%","±6.2","8.0%","±2.8","6.7%","±3.2","9.2%","±3.8","13.1%","±3.9","13.3%","±6.0","12.9%","±4.6","23.5%","±5.4","25.0%","±7.1","22.2%","±7.0","18.5%","±4.1","21.4%","±5.6","15.8%","±4.7","13.1%","±4.8","7.0%","±3.5","20.0%","±7.3","17.6%","±5.4","12.8%","±5.4","21.2%","±6.6"
"    Some college or associate's degree","13.3%","±4.3","9.8%","±4.5","15.6%","±6.4","6.8%","±1.4","5.4%","±1.7","8.0%","±1.9","22.5%","±2.9","20.9%","±4.0","23.9%","±4.0","15.9%","±5.4","11.9%","±7.1","19.1%","±7.1","11.0%","±3.8","11.2%","±5.9","10.8%","±5.0","11.8%","±3.3","8.0%","±4.2","15.0%","±3.9","19.8%","±4.3","15.1%","±6.1","23.3%","±5.8","6.8%","±1.8","7.2%","±2.6","6.5%","±2.2","11.7%","±4.0","10.0%","±4.8","13.4%","±5.7","7.2%","±2.5","6.1%","±3.2","8.3%","±3.3","11.2%","±3.6","7.1%","±5.5","14.4%","±5.7","21.8%","±5.4","10.0%","±5.7","30.8%","±8.2","8.8%","±3.2","5.2%","±4.8","11.2%","±4.0","15.2%","±4.4","15.4%","±8.9","15.1%","±5.2","11.4%","±3.6","6.3%","±4.2","15.7%","±5.1"
"    Bachelor's degree or higher","2.2%","±2.0","0.0%","±5.0","4.4%","±4.0","3.5%","±1.3","3.5%","±1.7","3.5%","±1.6","10.9%","±1.4","9.7%","±1.7","11.9%","±2.0","5.0%","±3.1","4.7%","±4.3","5.3%","±4.1","3.2%","±2.0","2.4%","±2.5","3.9%","±3.2","3.9%","±1.9","4.3%","±2.8","3.5%","±2.0","4.6%","±2.9","4.0%","±3.6","4.9%","±3.7","3.4%","±1.9","3.3%","±2.6","3.5%","±2.4","3.2%","±1.8","5.3%","±3.7","1.5%","±1.2","2.8%","±1.1","2.5%","±1.5","3.0%","±1.5","0.9%","±0.9","0.9%","±1.3","0.9%","±1.3","4.6%","±2.1","6.8%","±3.7","2.3%","±1.8","4.2%","±3.1","4.2%","±5.8","4.2%","±3.2","9.0%","±4.4","8.4%","±5.1","9.8%","±7.1","7.5%","±3.2","6.4%","±4.8","8.6%","±4.6"
"MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 25 years and over with earnings","32,615","±1,924","36,697","±1,804","26,564","±2,152","33,734","±1,470","37,659","±1,842","30,322","±2,083","27,763","±1,228","29,780","±1,397","26,168","±1,138","26,514","±1,012","29,606","±2,923","22,829","±2,562","27,159","±1,638","29,601","±3,291","25,439","±2,480","27,197","±1,615","32,000","±1,804","22,519","±1,741","27,487","±2,138","31,229","±1,528","24,182","±3,509","33,745","±1,396","40,625","±1,919","29,251","±2,072","30,652","±1,086","33,259","±4,046","27,157","±2,312","43,192","±2,809","53,288","±3,105","32,561","±2,282","32,763","±1,740","35,671","±3,327","27,848","±3,376","23,981","±2,997","26,610","±1,377","20,196","±1,702","27,434","±2,975","31,871","±2,949","25,031","±2,756","21,256","±1,715","22,474","±4,695","19,182","±3,187","28,965","±2,693","34,117","±5,209","23,944","±3,354"
"        Less than high school graduate","25,497","±3,450","27,176","±5,395","20,813","±7,147","22,971","±4,401","25,690","±2,106","19,397","±2,151","16,257","±1,808","16,228","±1,954","16,304","±4,706","20,313","±4,182","21,556","±1,271","14,179","±3,970","21,005","±2,569","21,998","±4,201","18,469","±4,017","17,064","±1,409","19,512","±3,724","15,262","±4,118","19,615","±6,122","22,311","±6,031","13,790","±4,609","20,716","±1,725","22,433","±2,867","18,382","±3,993","22,738","±2,089","23,838","±3,243","18,125","±10,223","20,045","±5,799","20,450","±6,777","17,083","±7,738","22,676","±1,792","24,188","±4,921","21,839","±2,356","17,139","±4,177","17,321","±9,395","16,500","±4,980","17,775","±2,045","16,583","±5,496","18,576","±1,250","14,648","±1,914","14,488","±2,337","15,169","±7,474","27,111","±3,845","28,018","±3,584","21,394","±3,844"
"        High school graduate (includes equivalency)","32,269","±3,895","38,662","±1,930","25,284","±3,252","30,831","±1,783","34,321","±1,903","26,534","±2,171","23,481","±1,444","25,258","±1,437","20,455","±1,876","25,885","±1,316","28,750","±2,373","20,953","±2,377","22,549","±2,626","26,026","±4,018","18,638","±2,036","25,700","±2,199","31,402","±3,255","19,801","±2,143","26,445","±1,216","30,645","±2,088","21,788","±3,117","30,885","±1,411","35,107","±2,607","26,101","±1,851","28,148","±3,325","31,337","±2,407","25,513","±3,214","29,436","±3,181","31,267","±2,114","26,406","±2,593","30,957","±2,236","32,808","±2,989","26,392","±5,203","18,703","±3,218","22,292","±5,812","16,596","±3,838","25,509","±1,714","27,778","±5,835","22,026","±1,867","17,936","±3,933","21,314","±3,452","13,512","±5,114","24,308","±2,798","29,893","±7,049","18,521","±5,070"
"        Some college or associate's degree","32,750","±3,481","46,438","±17,353","28,312","±3,700","34,982","±2,535","41,463","±4,334","29,264","±4,016","25,115","±2,804","27,990","±3,291","21,723","±2,322","29,963","±7,913","36,528","±8,713","25,733","±3,273","30,992","±2,121","33,592","±2,639","27,246","±4,136","29,238","±3,515","36,987","±6,250","24,135","±1,995","24,641","±4,975","31,408","±2,761","20,578","±4,892","36,801","±4,030","47,933","±5,180","30,425","±1,687","30,728","±2,605","36,970","±2,445","23,500","±4,115","37,232","±4,772","47,963","±6,348","27,460","±5,880","34,506","±5,339","38,984","±3,546","24,389","±8,258","23,310","±3,181","28,385","±7,141","21,382","±3,346","27,313","±3,610","36,702","±8,018","23,173","±6,282","23,556","±3,407","31,087","±10,417","22,139","±3,795","30,615","±4,846","34,699","±7,529","24,328","±5,818"
"        Bachelor's degree","40,644","±7,410","42,500","±10,592","39,063","±18,235","43,288","±3,209","50,714","±4,385","40,172","±4,700","32,885","±2,365","37,130","±3,051","29,253","±2,860","45,720","±9,665","47,348","±14,438","40,163","±13,795","44,645","±4,435","48,603","±8,131","42,400","±9,374","43,234","±5,738","54,836","±6,213","35,229","±6,455","52,298","±12,298","54,219","±18,688","49,659","±16,450","48,596","±7,797","65,025","±17,157","40,705","±4,487","44,071","±6,194","50,057","±18,434","42,875","±6,865","50,285","±4,722","60,365","±8,803","35,577","±4,641","38,059","±5,504","50,104","±27,908","37,206","±5,927","39,154","±4,454","41,473","±6,918","31,969","±10,238","40,263","±11,710","45,852","±22,229","34,972","±11,850","23,929","±9,485","27,031","±31,198","15,938","±11,583","40,117","±13,169","54,886","±29,440","27,421","±5,892"
"        Graduate or professional degree","51,220","±5,837","50,363","±37,147","52,805","±7,079","53,242","±3,849","49,684","±7,003","54,250","±3,054","47,629","±2,603","50,929","±4,400","45,692","±2,727","53,833","±1,189","74,167","±37,247","53,185","±3,356","56,892","±4,267","58,571","±5,583","55,625","±7,627","46,250","±5,597","60,208","±13,599","42,432","±6,654","58,218","±7,334","58,750","±34,358","57,852","±6,970","51,576","±2,308","57,695","±6,405","49,886","±4,530","48,617","±3,604","49,063","±3,687","47,476","±5,765","63,050","±3,883","100,359","±11,377","53,208","±2,994","56,305","±1,997","87,540","±23,554","54,803","±5,968","50,000","±8,172","36,875","±37,073","51,897","±12,605","60,863","±5,484","91,486","±34,282","50,852","±8,839","45,000","±14,409","42,232","±51,995","45,313","±15,186","51,557","±9,097","56,220","±13,496","42,800","±9,924"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Educational attainment","4.1%","(X)","(X)","(X)","(X)","(X)","6.5%","(X)","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","(X)","5.5%","(X)","(X)","(X)","(X)","(X)","5.7%","(X)","(X)","(X)","(X)","(X)","4.4%","(X)","(X)","(X)","(X)","(X)","3.8%","(X)","(X)","(X)","(X)","(X)","5.9%","(X)","(X)","(X)","(X)","(X)","6.1%","(X)","(X)","(X)","(X)","(X)","4.1%","(X)","(X)","(X)","(X)","(X)","6.7%","(X)","(X)","(X)","(X)","(X)","5.0%","(X)","(X)","(X)","(X)","(X)","3.5%","(X)","(X)","(X)","(X)","(X)","3.7%","(X)","(X)","(X)","(X)","(X)","3.6%","(X)","(X)","(X)","(X)","(X)"
